departure_date,booking_date,cum_bookings
8/19/2012,8/16/2012,178
8/19/2012,8/17/2012,193
8/19/2012,8/18/2012,197
8/19/2012,8/19/2012,233
8/20/2012,6/21/2012,1
8/20/2012,6/22/2012,1
8/20/2012,6/23/2012,1
8/20/2012,6/24/2012,1
8/20/2012,6/25/2012,1
8/20/2012,6/26/2012,3
8/20/2012,6/27/2012,3
8/20/2012,6/28/2012,3
8/20/2012,6/29/2012,3
8/20/2012,6/30/2012,3
8/20/2012,7/1/2012,3
8/20/2012,7/2/2012,3
8/20/2012,7/3/2012,3
8/20/2012,7/4/2012,3
8/20/2012,7/5/2012,5
8/20/2012,7/6/2012,12
8/20/2012,7/7/2012,12
8/20/2012,7/8/2012,12
8/20/2012,7/9/2012,12
8/20/2012,7/10/2012,12
8/20/2012,7/11/2012,12
8/20/2012,7/12/2012,38
8/20/2012,7/13/2012,38
8/20/2012,7/14/2012,40
8/20/2012,7/15/2012,40
8/20/2012,7/16/2012,58
8/20/2012,7/17/2012,82
8/20/2012,7/18/2012,84
8/20/2012,7/19/2012,116
8/20/2012,7/20/2012,132
8/20/2012,7/21/2012,132
8/20/2012,7/22/2012,136
8/20/2012,7/23/2012,168
8/20/2012,7/24/2012,197
8/20/2012,7/25/2012,202
8/20/2012,7/26/2012,236
8/20/2012,7/27/2012,248
8/20/2012,7/28/2012,248
8/20/2012,7/29/2012,248
8/20/2012,7/30/2012,290
8/20/2012,7/31/2012,302
8/20/2012,8/1/2012,344
8/20/2012,8/2/2012,363
8/20/2012,8/3/2012,382
8/20/2012,8/4/2012,382
8/20/2012,8/5/2012,382
8/20/2012,8/6/2012,416
8/20/2012,8/7/2012,431
8/20/2012,8/8/2012,457
8/20/2012,8/9/2012,486
8/20/2012,8/10/2012,507
8/20/2012,8/11/2012,511
8/20/2012,8/12/2012,517
8/20/2012,8/13/2012,542
8/20/2012,8/14/2012,563
8/20/2012,8/15/2012,592
8/20/2012,8/16/2012,603
8/20/2012,8/17/2012,631
8/20/2012,8/18/2012,632
8/20/2012,8/19/2012,637
8/20/2012,8/20/2012,678
8/21/2012,6/22/2012,0
8/21/2012,6/23/2012,0
8/21/2012,6/24/2012,0
8/21/2012,6/25/2012,0
8/21/2012,6/26/2012,2
8/21/2012,6/27/2012,2
8/21/2012,6/28/2012,4
8/21/2012,6/29/2012,6
8/21/2012,6/30/2012,6
8/21/2012,7/1/2012,6
8/21/2012,7/2/2012,6
8/21/2012,7/3/2012,6
8/21/2012,7/4/2012,6
8/21/2012,7/5/2012,8
8/21/2012,7/6/2012,15
8/21/2012,7/7/2012,15
8/21/2012,7/8/2012,15
8/21/2012,7/9/2012,15
8/21/2012,7/10/2012,15
8/21/2012,7/11/2012,15
8/21/2012,7/12/2012,41
8/21/2012,7/13/2012,41
8/21/2012,7/14/2012,43
8/21/2012,7/15/2012,43
8/21/2012,7/16/2012,61
8/21/2012,7/17/2012,84
